hostname,hd_name,default_flag,sy_snum,sy_pnum,st_age,,sy_dist,rv_flag,tran_flag,ast_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,,st_ageerr1,st_ageerr2,st_agelim,sy_refname,rastr,ra,decstr,dec,,,sy_disterr1,sy_disterr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,rowupdate,pl_pubdate,releasedate
TOI-837,,1,1,1,35,"1,424,880,000.0",142.5,0,1,0,Published Confirmed,0,<a refstr=BOUMA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..239B/abstract target=ref>Bouma et al. 2020</a>,"832,487,620","1,570","-1,570",0,,,,,"8,631","1,009","-1,009",0,770,90,-90,0,"38,139,600",,,1,"120,000",,,1,Msini,0,,,0,,,,,,,,,0,G0/F9 V,"6047,00","162,00","-162,00",0,,11,-5,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h28m08.95s,"1,570,372,806",-64d30m18.76s,"-645,052,107",,,"4,610,000","-4,580,000","89,330,000","260,000","-260,000",2020-10-16,2020-11,2020-10-22
ROXs 42 B,,0,2,1,3,"1,435,900,000.0",143.6,0,0,0,Published Confirmed,0,<a refstr=CURRIE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...780L..30C/abstract target=ref> Currie et al. 2014 </a>,,,,,"150,000,000",,,0,,,,,,,,,"333,710,000","143,020,000","-143,020,000",0,"1,050,000","450,000","-450,000",0,Mass,,,,,,,,,2200,400,-400,0,0,M0,,,,,,3,-3,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h31m15.01s,"2,478,125,493",-24d32m44.08s,"-245,455,770",,,"15,420,000","-15,110,000","86,710,000","230,000","-230,000",2014-05-16,2014-01,2014-05-16
UScoCTIO 108,,1,1,1,3,"1,440,190,000.0",144.0,0,0,0,Published Confirmed,0,<a refstr=B_EACUTE_JAR_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...673L.185B/abstract target=ref>B&eacute;jar et al. 2008</a>,,,,,"670,000,000",,,0,,,,,,,,,"444,962,000","63,566,000","-254,264,000",0,"1,400,000","200,000","-800,000",0,Mass,,,,,,,,,,,,,0,M7,"2700,00","100,00","-100,00",0,,5,-2,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h05m54.06s,"2,414,752,653",-18d18m44.70s,"-183,124,167",,,"52,190,000","-48,720,000","125,070,000","300,000","-300,000",2015-05-14,2008-02,2015-05-14
HD 144844,HD 144844,1,2,1,10,"1,457,980,000.0",145.8,0,0,1,Published Confirmed,0,<a refstr=JANSON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...626A..99J/abstract target=ref>Janson et al. 2019</a>,,,,,"345,000,000","6,000,000","-6,000,000",0,,,,,,,,,"651,551,500","143,023,500","-143,023,500",0,"2,050,000","450,000","-450,000",0,Mass,,,,,,,,,2450,150,-150,0,0,,,,,,,3,-3,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h08m43.71s,"2,421,821,202",-23d41m07.89s,"-236,855,244",,,"25,620,000","-24,760,000","57,070,000","180,000","-180,000",2019-07-03,2019-06,2019-07-11
TOI-1431,HD 201033,1,1,1,290,"1,489,250,000.0",148.9,1,1,0,Published Confirmed,0,<a refstr=ADDISON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..292A/abstract target=ref>Addison et al. 2021</a>,"265,023,700",300,-300,0,"46,000","2,000","-2,000",0,"16,701",560,-560,0,"1,490",50,-50,0,"99,162,463","5,720,911","-5,720,911",0,"312,000","18,000","-18,000",0,Mass,"2,200","3,000","-1,600",0,"5300,00","500,00","-470,00",0,2370,70,-70,0,0,Am C,"7690,00","400,00","-250,00",0,,320,-190,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h04m48.89s,"3,162,036,922",+55d35m16.88s,"555,880,221",,,"10,340,000","-10,200,000","74,390,000","290,000","-290,000",2021-10-11,2021-12,2021-10-11
GQ Lup,,1,1,1,1,"1,511,690,000.0",151.2,0,0,0,Published Confirmed,0,<a refstr=NEUHAEUSER_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A%26A...484..281N/abstract target=ref> Neuh&auml;user et al. 2008 </a>,,,,,"100,000,000",,,0,"33,600","5,600","-5,600",0,"3,000",500,-500,0,"635,600,000",,,0,"2,000,000",,,0,Mass,,,,,,,,,2650,100,-100,0,0,K7e V,,,,,,1,-1,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h49m12.09s,"2,373,003,643",-35d39m05.42s,"-356,515,055",,,"10,960,000","-10,810,000","70,960,000","200,000","-200,000",2014-05-14,2008-06,2014-05-14
TOI-942,,1,3,2,90,"1,526,010,000.0",152.6,0,1,0,Published Confirmed,0,<a refstr=ZHOU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161....2Z/abstract target=ref>Zhou et al. 2021</a>,"432,419,000","3,000","-3,000",0,"47,960",730,-650,0,"4,810",200,-200,0,429,18,-18,0,"82,635,800",,,1,"260,000",,,1,Mass,0,,,0,,,,,,,,,0,,"4928,00","125,00","-85,00",0,,70,-70,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h06m35.91s,"766,496,172",-20d14m44.21s,"-202,456,126",,,"6,950,000","-6,890,000","96,390,000","230,000","-230,000",2020-12-10,2021-01,2020-12-17
Kepler-411,,1,2,4,212,"1,536,760,000.0",153.7,1,1,0,Published Confirmed,0,<a refstr=SUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...624A..15S/abstract target=ref>Sun et al. 2019</a>,"300,515,600",200,-200,0,"37,500",800,-800,0,"2,401",53,-53,0,214,5,-5,0,"2,560,000","260,000","-260,000",0,"8,055",818,-818,0,Mass,"146,000","5,000","-4,000",0,,,,,1138,17,-17,0,1,K2 V,,,,,,31,-31,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m25.37s,"2,876,057,027",+49d31m24.22s,"495,233,937",,,"4,550,000","-4,530,000","100,620,000","230,000","-230,000",2019-07-03,2019-04,2019-07-11
CI Tau,,1,1,1,3,"1,579,980,000.0",158.0,1,0,0,Published Confirmed,0,<a refstr=FLAGG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190602860F/abstract target=ref>Flagg et al. 2019</a>,"898,910,000","2,020,000","-2,020,000",0,,,,,,,,,,,,,"368,682,800","92,170,700","-85,814,100",0,"1,160,000","290,000","-270,000",0,Mass,"250,000","160,000","-160,000",0,,,,,,,,,0,K7,,,,,,1,-1,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h33m52.02s,"684,667,685",+22d50m29.83s,"228,416,192",,,"11,980,000","-11,800,000","77,930,000","200,000","-200,000",2019-06-19,2019-06,2019-06-27
WASP-14,,0,3,1,750,"1,619,970,000.0",162.0,1,1,0,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,"224,376,610",110,-110,0,"35,800","1,200","-1,300",0,"14,359",841,-919,0,"1,281",75,-82,0,"229,473,260","15,573,670","-15,891,500",0,"722,000","49,000","-50,000",0,Mass,"78,200","1,400","-1,200",0,,,,,,,,,0,,"6480,00","100,00","-100,00",0,,250,-250,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h33m06.39s,"2,182,766,247",+21d53m40.87s,"218,946,875",,,"8,100,000","-8,020,000","86,210,000","190,000","-190,000",2019-03-18,2017-06,2019-03-21
AB Aur,,1,1,1,3,"1,621,270,000.0",162.1,0,0,0,Published Confirmed,0,<a refstr=CURRIE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022NatAs.tmp...76C/abstract target=ref>Currie et al. 2022</a>,,,,,"93,900,000","49,300,000","-49,300,000",0,,,,,,,,,"286,045,566",,,0,"900,000",,,0,Mass,"400,000","200,000","-210,000",0,,,,,,,,,0,,"9770,00","100,00","-100,00",0,,2,-2,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h55m45.85s,"739,410,446",+30d33m03.92s,"305,510,888",,,"15,260,000","-14,980,000","42,300,000","160,000","-160,000",2022-04-12,2022-04,2022-04-12
XO-1,,0,1,1,900,"1,635,530,000.0",163.6,1,1,0,Published Confirmed,0,<a refstr=SOUTHWORTH_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.408.1689S/abstract target=ref> Southworth 2010 </a>,"394,151,280",280,-280,0,"49,440",800,-800,0,"13,518",460,-460,0,"1,206",41,-41,0,"29,367,492","2,447,291","-2,447,291",0,"92,400","7,700","-7,700",0,Mass,,,,,,,,,1210,16,-16,0,0,,"5750,00","50,00","-50,00",0,,"2,500","-1,200",0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h02m11.83s,"2,405,492,745",+28d10m10.65s,"281,696,248",,,"6,220,000","-6,170,000","95,270,000","150,000","-150,000",2018-04-25,2010-11,2016-01-14
MASCARA-4,HD 85628,1,2,1,800,"1,706,960,000.0",170.7,1,1,0,Published Confirmed,0,<a refstr=DORVAL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A..60D/abstract target=ref>Dorval et al. 2020</a>,"282,406,000","3,000","-3,000",0,"47,000","4,000","-4,000",0,"17,150",785,-448,0,"1,530",70,-40,0,"98,527,300","28,604,700","-28,604,700",0,"310,000","90,000","-90,000",0,Mass,0,,,0,,,,,2100,100,-100,0,0,A7 V,"7800,00","200,00","-200,00",0,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h50m19.22s,"1,475,800,667",-66d06m50.13s,"-661,139,253",,,"9,380,000","-9,280,000","77,500,000","230,000","-230,000",2020-03-13,2020-03,2020-03-19
WASP-52,,1,1,1,400,"1,748,180,000.0",174.8,1,1,0,Published Confirmed,0,<a refstr=HEBRARD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A.134H/abstract target=ref> Hebrard et al. 2013 </a>,"174,977,980",120,-120,0,"27,200",300,-300,0,"14,240",340,-340,0,"1,270",30,-30,0,"14,620,000","636,000","-636,000",0,"46,000","2,000","-2,000",0,Mass,0,,,0,,,,,1315,35,-35,0,0,K2 V,"5000,00","100,00","-100,00",0,,300,-200,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h13m58.75s,"3,484,947,931",+08d45m39.89s,"87,610,793",,,"13,430,000","-13,230,000","100,860,000","250,000","-250,000",2014-05-14,2013-01,2014-05-14
WASP-62,,0,1,1,800,"1,756,310,000.0",175.6,1,1,0,Published Confirmed,0,<a refstr=BROWN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.464..810B/abstract target=ref>Brown et al. 2017</a>,"441,194,000",400,-400,0,"57,100",500,-500,0,"15,020",560,-336,0,"1,340",50,-30,0,"18,434,140","953,490","-953,490",0,"58,000","3,000","-3,000",0,Mass,0,,,0,,,,,1475,25,-20,0,0,,"6230,00","80,00","-80,00",0,,600,-600,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h48m33.56s,"871,398,205",-63d59m17.98s,"-639,883,286",,,"5,900,000","-5,860,000","89,440,000","210,000","-210,000",2020-10-16,2017-01,2020-10-22
K2-95,,0,1,1,800,"1,798,540,000.0",179.9,0,1,0,Published Confirmed,0,<a refstr=OBERMEIER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..223O/abstract target=ref>Obermeier et al. 2016</a>,"1,013,389,000","68,000","-77,000",0,"65,300","3,900","-4,500",0,"3,470",780,-530,0,310,70,-47,0,,,,,,,,,,,,,,,,,,,,,,0,M3.0,"3471,00","124,00","-124,00",0,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h37m27.02s,"1,293,625,717",+18d58m35.83s,"189,766,197",,,"40,440,000","-38,730,000","124,740,000","210,000","-210,000",2018-10-24,2016-12,2016-09-08
K2-95,,0,1,1,790,"1,798,540,000.0",179.9,0,1,0,Published Confirmed,0,<a refstr=MANN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...64M/abstract target=ref>Mann et al. 2017</a>,"1,013,509,100","49,500","-48,800",0,,,,,"3,700",200,-200,0,330,18,-18,0,,,,,,,,,,"160,000","190,000","-110,000",0,,,,,,,,,0,,"3410,00","65,00","-65,00",0,,30,-30,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h37m27.02s,"1,293,625,717",+18d58m35.83s,"189,766,197",,,"40,440,000","-38,730,000","124,740,000","210,000","-210,000",2018-10-24,2017-02,2016-12-21
Cl* NGC 2632 JC 278,,1,2,2,578,"1,827,140,000.0",182.7,1,0,0,Published Confirmed,0,<a refstr=MALAVOLTA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588A.118M/abstract target=ref>Malavolta et al. 2016</a>,"214,610,000","3,000","-3,000",0,"31,760",150,-150,0,,,,,,,,,"59,752,040","953,490","-953,490",0,"188,000","3,000","-3,000",0,Msini,"11,000","12,000","-8,000",0,,,,,,,,,0,,"5300,00","30,00","-30,00",0,,12,-12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h42m11.46s,"1,305,477,440",+19d16m37.05s,"192,769,570",,,"10,630,000","-10,510,000","101,730,000","160,000","-160,000",2016-02-10,2016-04,2016-02-11
HD 97048,HD 97048,1,1,1,3,"1,838,570,000.0",183.9,0,0,0,Published Confirmed,0,<a refstr=PINTE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019NatAs...3.1109P/abstract target=ref>Pinte et al. 2019</a>,,,,,"130,000,000",,,0,,,,,,,,,"79,457,500","15,891,500","-15,891,500",0,"250,000","50,000","-50,000",0,Mass,,,,,,,,,,,,,0,Be9.5/AO,"10000,00",,,0,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h08m03.20s,"1,670,133,422",-77d39m17.47s,"-776,548,530",,,"13,310,000","-13,130,000","59,410,000","290,000","-290,000",2019-10-18,2019-08,2019-10-24
EPIC 211822797,,0,1,1,790,"1,861,970,000.0",186.2,0,1,0,Published Confirmed,0,<a refstr=MANN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...64M/abstract target=ref>Mann et al. 2017</a>,"2,116,961,900","166,500","-172,900",0,,,,,"2,200",200,-100,0,196,18,-9,0,,,,,,,,,,"180,000","270,000","-150,000",0,,,,,,,,,0,,"3880,00","67,00","-67,00",0,,30,-30,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h41m38.45s,"1,304,102,091",+17d38m23.91s,"176,399,744",,,"13,645,000","-13,645,000","114,290,000","180,000","-180,000",2017-12-12,2017-02,2016-12-21
K2-102,,1,1,1,790,"1,881,750,000.0",188.2,0,1,0,Published Confirmed,0,<a refstr=MANN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...64M/abstract target=ref>Mann et al. 2017</a>,"991,561,500","120,900","-119,500",0,,,,,"1,300",100,-100,0,116,9,-9,0,,,,,,,,,,"100,000","160,000","-70,000",0,,,,,,,,,0,,"4695,00","50,00","-50,00",0,,30,-30,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h40m13.41s,"1,300,558,953",+19d46m43.51s,"197,787,519",,,"20,650,000","-20,220,000","106,400,000","200,000","-200,000",2016-12-20,2017-02,2016-12-21
K2-101,,0,1,1,790,"1,883,300,000.0",188.3,0,1,0,Published Confirmed,0,<a refstr=MANN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...64M/abstract target=ref>Mann et al. 2017</a>,"1,467,728,600","82,800","-80,400",0,,,,,"2,000",100,-100,0,178,9,-9,0,,,,,,,,,,"100,000","180,000","-80,000",0,,,,,,,,,0,,"4819,00","45,00","-45,00",0,,30,-30,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h41m22.54s,"1,303,439,097",+18d56m01.75s,"189,338,205",,,"21,280,000","-20,820,000","105,360,000","190,000","-190,000",2016-12-20,2017-02,2016-12-21
K2-100,,1,1,1,750,"1,889,590,000.0",189.0,0,1,0,Published Confirmed,0,<a refstr=BARRAG_AACUTE_N_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.490..698B/abstract target=ref>Barrag&aacute;n et al. 2019</a>,"167,390,350",40,-40,0,"30,100","1,400","-1,400",0,"3,880",160,-160,0,346,14,-14,0,"2,180,000","620,000","-620,000",0,"6,859","1,951","-1,951",0,Mass,0,,,0,"1915,00","178,00","-165,00",0,1841,41,-41,0,0,G0 V,"5945,00","110,00","-110,00",0,,4,-7,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h38m24.26s,"1,296,010,863",+20d06m21.63s,"201,060,074",,,"24,710,000","-24,100,000","91,820,000","180,000","-180,000",2021-07-12,2019-11,2021-07-12
K2-104,,0,1,1,790,"1,892,890,000.0",189.3,0,1,0,Published Confirmed,0,<a refstr=MANN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...64M/abstract target=ref>Mann et al. 2017</a>,"197,419,000","11,000","-11,000",0,,,,,"1,900",200,-100,0,170,18,-9,0,,,,,,,,,,"180,000","290,000","-140,000",0,,,,,,,,,0,,"3660,00","67,00","-67,00",0,,30,-30,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h38m32.80s,"1,296,366,594",+19d46m25.39s,"197,737,202",,,"39,960,000","-38,370,000","120,140,000","210,000","-210,000",2017-12-12,2017-02,2016-12-21
CHXR 73,,1,1,1,2,"1,903,740,000.0",190.4,0,0,0,Published Confirmed,0,<a refstr=LUHMAN_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...649..894L/abstract target=ref> Luhman et al. 2006 </a>,,,,,"210,000,000",,,0,,,,,,,,,"399,448,600","266,299,100","-166,436,900",0,"1,256,900","837,900","-523,700",0,Mass,,,,,,,,,,,,,0,M3.5,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h06m28.66s,"1,666,193,985",-77d37m33.14s,"-776,258,725",,,"66,470,000","-62,200,000","107,030,000","230,000","-230,000",2014-05-14,2006-10,2014-05-14
CT Cha,,1,1,1,2,"1,907,200,000.0",190.7,0,0,0,Published Confirmed,0,<a refstr=SCHMIDT_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...491..311S/abstract target=ref> Schmidt et al. 2008 </a>,,,,,"440,000,000",,,0,"24,660","9,080","-6,730",0,"2,200",810,-600,0,"540,300,000","190,700,000","-190,700,000",0,"1,700,000","600,000","-600,000",0,Mass,,,,,,,,,2600,250,-250,0,0,,,,,,,2,-2,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h04m09.00s,"1,660,375,038",-76d27m19.33s,"-764,553,693",,,"7,780,000","-7,710,000","86,610,000","210,000","-210,000",2014-05-14,2008-11,2014-05-14
Kepler-63,,1,1,1,210,"1,940,330,000.0",194.0,1,1,0,Published Confirmed,0,<a refstr=SANCHIS_OJEDA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...775...54S/abstract target=ref> Sanchis-Ojeda et al. 2013 </a>,"943,415,050",100,-100,0,"80,000","2,000","-2,000",0,"6,110",200,-200,0,545,18,-18,0,"12,000,000",,,1,"37,800",,,1,Mass,"450,000",,,1,,,,,,,,,0,,"5576,00","50,00","-50,00",0,,45,-45,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h16m54.31s,"2,892,262,876",+49d32m53.81s,"495,482,814",,,"9,590,000","-9,490,000","99,970,000","220,000","-220,000",2019-12-02,2013-09,2014-05-14
K2-105,,0,1,1,600,"1,979,890,000.0",198.0,1,1,0,Published Confirmed,0,<a refstr=NARITA_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017PASJ...69...29N/abstract target=ref>Narita et al. 2017</a>,"826,690,200","7,000","-7,000",0,"81,000","6,000","-6,000",0,"3,590",440,-390,0,369,39,-34,0,"3,000,000","1,900,000","-1,900,000",0,"9,439","5,978","-5,978",0,Mass,,,,,,,,,,,,,0,,"5434,00","53,00","-53,00",0,,,,-1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h21m40.87s,"1,254,202,985",+13d29m51.04s,"134,975,122",,,"15,550,000","-15,300,000","100,910,000","190,000","-190,000",2018-10-24,2017-04,2017-01-12
WASP-101,,0,1,1,900,"2,012,240,000.0",201.2,1,1,0,Published Confirmed,0,<a refstr=HELLIER_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.440.1982H/abstract target=ref> Hellier et al. 2014 </a>,"358,572,200",400,-400,0,"50,600",900,-900,0,"15,800",560,-560,0,"1,410",50,-50,0,"15,891,000","1,271,000","-1,271,000",0,"50,000","4,000","-4,000",0,Mass,0,,,0,,,,,1560,35,-35,0,0,F6,"6400,00","110,00","-110,00",0,,"1,300",-400,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h33m24.26s,"983,511,016",-23d29m09.91s,"-234,860,860",,,"11,520,000","-11,390,000","90,750,000","250,000","-250,000",2018-04-25,2014-05,2014-05-14
KELT-9,HD 195689,1,2,1,300,"2,044,550,000.0",204.5,1,1,0,Published Confirmed,0,<a refstr=GAUDI_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.546..514G/abstract target=ref>Gaudi et al. 2017</a>,"148,112,350",110,-110,0,"34,620","1,100",-930,0,"21,196",684,-594,0,"1,891",61,-53,0,"91,535,040","26,697,720","-26,697,720",0,"288,000","84,000","-84,000",0,Mass,0,,,0,"44900,00","8100,00","-7200,00",0,4050,180,-180,0,0,B9.5-A0,"10170,00","450,00","-450,00",0,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h31m26.38s,"3,078,598,998",+39d56m20.10s,"399,389,161",,,"15,820,000","-15,580,000","74,820,000","200,000","-200,000",2017-06-02,2017-06,2017-06-05
WASP-25,,0,1,1,100,"2,114,160,000.0",211.4,1,1,0,Published Confirmed,0,<a refstr=SOUTHWORTH_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.444..776S/abstract target=ref>Southworth et al. 2014</a>,"376,483,270",90,-90,0,"48,190",580,-580,0,"13,978",359,-359,0,"1,247",32,-32,0,"19,006,234","1,398,452","-1,398,452",0,"59,800","4,400","-4,400",0,Mass,,,,,,,,,1210,14,-14,0,0,,"5736,00","50,00","-50,00",0,,"5,700",-100,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h01m26.34s,"1,953,597,581",-27d31m20.02s,"-275,222,273",,,"14,680,000","-14,470,000","101,740,000","210,000","-210,000",2018-04-25,2014-10,2016-09-08
WASP-139,,1,2,1,500,"2,124,720,000.0",212.5,1,1,0,Published Confirmed,0,<a refstr=HELLIER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.465.3693H/abstract target=ref>Hellier et al. 2017</a>,"592,426,200",400,-400,0,"62,000","2,000","-2,000",0,"8,967",560,-560,0,800,50,-50,0,"3,718,611","540,311","-540,311",0,"11,700","1,700","-1,700",0,Mass,0,,,0,,,,,910,30,-30,0,0,K0,"5310,00","90,00","-90,00",0,,,,-1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h18m14.92s,"495,621,730",-41d18m07.28s,"-413,020,235",,,"11,100,000","-10,980,000","104,720,000","210,000","-210,000",2016-11-30,2017-03,2016-12-01
CoRoT-2,,0,2,1,600,"2,132,830,000.0",213.3,1,1,0,Published Confirmed,0,<a refstr=SOUTHWORTH_2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.417.2166S/abstract target=ref>Southworth 2011</a>,"174,299,350",100,-100,0,"28,540",480,-480,0,"16,477",359,-359,0,"1,470",32,-32,0,"115,054,460","5,085,280","-5,085,280",0,"362,000","16,000","-16,000",0,Mass,,,,,,,,,1548,22,-22,0,1,,"5696,00","70,00","-70,00",0,,"2,400","-2,200",0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h27m06.49s,"2,917,770,457",+01d23m01.19s,"13,836,634",,,"24,850,000","-24,300,000","103,100,000","310,000","-310,000",2016-01-12,2011-11,2016-01-14
